DEPADM;DepBol;NomeDepBol;codRMet;CODESC;NOMESC;SERIE_ANO;cod_per;periodo;co_comp;ds_comp;medprof
1;1;Rede Estadual;1;12;AYRES DE MOURA PROFESSOR;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;263,1
1;1;Rede Estadual;1;12;AYRES DE MOURA PROFESSOR;9º Ano EF;9;GERAL;2;MATEMÁTICA;272,3
1;1;Rede Estadual;1;24;GAVIAO PEIXOTO BRIGADEIRO;3º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;170,4
1;1;Rede Estadual;1;24;GAVIAO PEIXOTO BRIGADEIRO;3º Ano EF;9;GERAL;2;MATEMÁTICA;181,5
1;1;Rede Estadual;1;24;GAVIAO PEIXOTO BRIGADEIRO;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;207,9
1;1;Rede Estadual;1;24;GAVIAO PEIXOTO BRIGADEIRO;5º Ano EF;9;GERAL;2;MATEMÁTICA;219,4
1;1;Rede Estadual;1;24;GAVIAO PEIXOTO BRIGADEIRO;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;226,9
1;1;Rede Estadual;1;24;GAVIAO PEIXOTO BRIGADEIRO;9º Ano EF;9;GERAL;2;MATEMÁTICA;237,1
1;1;Rede Estadual;1;24;GAVIAO PEIXOTO BRIGADEIRO;EM-3ª série;9;GERAL;1;LÍNGUA PORTUGUESA;263,8
1;1;Rede Estadual;1;24;GAVIAO PEIXOTO BRIGADEIRO;EM-3ª série;9;GERAL;2;MATEMÁTICA;263,7
1;1;Rede Estadual;1;36;JOAO SOLIMEO;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;243,1
1;1;Rede Estadual;1;36;JOAO SOLIMEO;9º Ano EF;9;GERAL;2;MATEMÁTICA;245,8
1;1;Rede Estadual;1;36;JOAO SOLIMEO;EM-3ª série;9;GERAL;1;LÍNGUA PORTUGUESA;268,4
1;1;Rede Estadual;1;36;JOAO SOLIMEO;EM-3ª série;9;GERAL;2;MATEMÁTICA;258,9
1;1;Rede Estadual;1;48;WALFREDO ARANTES CALDAS PROFESSOR;EM-3ª série;9;GERAL;1;LÍNGUA PORTUGUESA;270,9
1;1;Rede Estadual;1;48;WALFREDO ARANTES CALDAS PROFESSOR;EM-3ª série;9;GERAL;2;MATEMÁTICA;264,8
1;1;Rede Estadual;1;59;SEBASTIAO DE OLIVEIRA GUSMAO PROFESSOR;EM-3ª série;9;GERAL;1;LÍNGUA PORTUGUESA;279,6
1;1;Rede Estadual;1;59;SEBASTIAO DE OLIVEIRA GUSMAO PROFESSOR;EM-3ª série;9;GERAL;2;MATEMÁTICA;269,2
1;1;Rede Estadual;1;61;SUZANA DE CAMPOS DONA;3º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;187
1;1;Rede Estadual;1;61;SUZANA DE CAMPOS DONA;3º Ano EF;9;GERAL;2;MATEMÁTICA;212,7
1;1;Rede Estadual;1;61;SUZANA DE CAMPOS DONA;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;212,2
1;1;Rede Estadual;1;61;SUZANA DE CAMPOS DONA;5º Ano EF;9;GERAL;2;MATEMÁTICA;220,9
1;1;Rede Estadual;1;73;JULIO DE FARIA E SOUZA PROFESSOR;3º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;173,4
1;1;Rede Estadual;1;73;JULIO DE FARIA E SOUZA PROFESSOR;3º Ano EF;9;GERAL;2;MATEMÁTICA;217,2
1;1;Rede Estadual;1;73;JULIO DE FARIA E SOUZA PROFESSOR;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;205,9
1;1;Rede Estadual;1;73;JULIO DE FARIA E SOUZA PROFESSOR;5º Ano EF;9;GERAL;2;MATEMÁTICA;211,3
1;1;Rede Estadual;1;85;JULIO CESAR DE OLIVEIRA PROFESSOR;3º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;203
1;1;Rede Estadual;1;85;JULIO CESAR DE OLIVEIRA PROFESSOR;3º Ano EF;9;GERAL;2;MATEMÁTICA;239,5
1;1;Rede Estadual;1;85;JULIO CESAR DE OLIVEIRA PROFESSOR;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;222,9
1;1;Rede Estadual;1;85;JULIO CESAR DE OLIVEIRA PROFESSOR;5º Ano EF;9;GERAL;2;MATEMÁTICA;234,2
1;1;Rede Estadual;1;97;RENATO DE ARRUDA PENTEADO PROFESSOR;EM-3ª série;9;GERAL;1;LÍNGUA PORTUGUESA;256,9
1;1;Rede Estadual;1;97;RENATO DE ARRUDA PENTEADO PROFESSOR;EM-3ª série;9;GERAL;2;MATEMÁTICA;251,3
1;1;Rede Estadual;1;103;JOAO BOEMER JARDIM PROFESSOR;3º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;200,6
1;1;Rede Estadual;1;103;JOAO BOEMER JARDIM PROFESSOR;3º Ano EF;9;GERAL;2;MATEMÁTICA;234,9
1;1;Rede Estadual;1;103;JOAO BOEMER JARDIM PROFESSOR;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;206,1
